Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details
22644-9646,SF,Kevin,Kevin Durant,Durant,48.52068881,29,10900,UTA@GS,GS,UTA,0,0
22644-9642,PG,Russell,Russell Westbrook,Westbrook,52.30294261,34,11200,TOR@OKC,OKC,TOR,0,0
22644-9488,SF,LeBron,LeBron James,James,54.76176542,34,11700,CLE@SAC,CLE,SAC,0,0
22644-12362,C,DeMarcus,DeMarcus Cousins,Cousins,51.97272653,33,11500,BKN@NO,NO,BKN,0,0
22644-15755,PF,Anthony,Anthony Davis,Davis,48.30000087,28,10800,BKN@NO,NO,BKN,0,0
22644-58462,C,Karl-Anthony,Karl-Anthony Towns,Towns,42.32352941,34,8700,DEN@MIN,MIN,DEN,0,0
22644-15684,SG,Victor,Victor Oladipo,Oladipo,42.46363784,33,9100,DAL@IND,IND,DAL,0,0
22644-63122,PF,Kristaps,Kristaps Porzingis,Porzingis,40.01851852,27,8600,NY@CHI,NY,CHI,0,0
22644-55062,C,Nikola,Nikola Jokic,Jokic,38.13333243,27,8600,DEN@MIN,DEN,MIN,0,0
22644-14528,SF,Jimmy,Jimmy Butler,Butler,39.00624847,32,8000,DEN@MIN,MIN,DEN,0,0
22644-9714,SG,DeMar,DeMar DeRozan,DeRozan,38.83750153,32,8200,TOR@OKC,TOR,OKC,0,0
22644-12332,PG,John,John Wall,Wall,39.69130541,23,8900,WAS@ATL,WAS,ATL,0,0
22644-15860,PF,Draymond,Draymond Green,Green,36.43928528,28,7500,UTA@GS,GS,UTA,0,0
22644-14498,PG,Kyrie,Kyrie Irving,Irving,38.12285854,35,8500,BOS@CHA,BOS,CHA,0,0
22644-9581,C,Marc,Marc Gasol,Gasol,38.75294046,34,8800,MEM@LAL,MEM,LAL,0,0
22644-9692,SG,Tyreke,Tyreke Evans,Evans,33.99090761,33,8400,MEM@LAL,MEM,LAL,0,0
22644-9874,C,Kevin,Kevin Love,Love,36.69394013,33,8300,CLE@SAC,CLE,SAC,0,0
22644-58253,C,Myles,Myles Turner,Turner,32.14444535,27,6700,DAL@IND,IND,DAL,0,0
22644-9535,PG,Kyle,Kyle Lowry,Lowry,35.29062653,32,7600,TOR@OKC,TOR,OKC,0,0
22644-9660,C,Dwight,Dwight Howard,Howard,34.23030229,33,7200,BOS@CHA,CHA,BOS,0,0
22644-12341,SF,Paul,Paul George,George,38.07187653,32,7100,TOR@OKC,OKC,TOR,0,0
22644-40201,PG,Dennis,Dennis Schroder,Schroder,34.38333333,30,7300,WAS@ATL,ATL,WAS,0,0
22644-23802,PG,Kris,Kris Dunn,Dunn,31.48620605,29,7200,NY@CHI,CHI,NY,0,0
22644-15595,SG,Bradley,Bradley Beal,Beal,35.75,34,7400,WAS@ATL,WAS,ATL,0,0
22644-42148,PF,Rondae,Rondae Hollis-Jefferson,Hollis-Jefferson,28.81999919,30,6400,BKN@NO,BKN,NO,0,0
22644-9663,SG,Jrue,Jrue Holiday,Holiday,34.29393791,33,7700,BKN@NO,NO,BKN,0,0
22644-14507,PG,Kemba,Kemba Walker,Walker,36.25161448,31,6600,BOS@CHA,CHA,BOS,0,0
22644-58377,PF,Kyle,Kyle Kuzma,Kuzma,29.29032258,31,7400,MEM@LAL,LAL,MEM,0,0
22644-66113,SG,Donovan,Donovan Mitchell,Mitchell,29.74848522,33,7000,UTA@GS,UTA,GS,0,0
22644-14509,SG,Klay,Klay Thompson,Thompson,32.04117719,34,6700,UTA@GS,GS,UTA,0,0
22644-9453,C,Al,Al Horford,Horford,34.04705811,34,6800,BOS@CHA,BOS,CHA,0,0
22644-15542,PG,Spencer,Spencer Dinwiddie,Dinwiddie,28.55312538,32,6900,BKN@NO,BKN,NO,0,0
22644-23169,C,Steven,Steven Adams,Adams,30.52758579,29,5700,TOR@OKC,OKC,TOR,0,0
22644-9446,PG,Jeff,Jeff Teague,Teague,30.25666707,30,6100,DEN@MIN,MIN,DEN,0,0
22644-14522,PF,Nikola,Nikola Mirotic,Mirotic,30.67000122,10,6500,NY@CHI,CHI,NY,0,0
22644-9615,SF,Courtney,Courtney Lee,Lee,24.97272653,33,5100,NY@CHI,NY,CHI,0,0
22644-15628,SF,Otto,Otto Porter Jr.,Porter Jr.,30.18709638,31,5900,WAS@ATL,WAS,ATL,0,0
22644-24544,SG,Gary,Gary Harris,Harris,29.19677341,31,6200,DEN@MIN,DEN,MIN,0,0
22644-15946,SF,Harrison,Harrison Barnes,Barnes,30.79714355,35,6600,DAL@IND,DAL,IND,0,0
22644-66236,PF,John,John Collins,Collins,24.97037082,27,5600,WAS@ATL,ATL,WAS,0,0
22644-15636,SG,Kentavious,Kentavious Caldwell-Pope,Caldwell-Pope,27.96428571,28,5300,MEM@LAL,LAL,MEM,0,0
22644-23823,C,Willie,Willie Cauley-Stein,Cauley-Stein,24.8172418,29,5600,CLE@SAC,SAC,CLE,0,0
22644-17333,SG,Will,Will Barton,Barton,29.89090983,33,5800,DEN@MIN,DEN,MIN,0,0
22644-66108,PG,Jamal,Jamal Murray,Murray,24.32941212,34,5900,DEN@MIN,DEN,MIN,0,0
22644-9809,SG,Nicolas,Nicolas Batum,Batum,24.47368421,19,5400,BOS@CHA,CHA,BOS,0,0
22644-9957,PF,Serge,Serge Ibaka,Ibaka,26.55517157,29,5900,TOR@OKC,TOR,OKC,0,0
22644-9508,PF,Carmelo,Carmelo Anthony,Anthony,29.80605987,33,5500,TOR@OKC,OKC,TOR,0,0
22644-19781,SG,Kent,Kent Bazemore,Bazemore,29.07575758,33,6200,WAS@ATL,ATL,WAS,0,0
22644-9579,PF,Zach,Zach Randolph,Randolph,28.61724222,29,6300,CLE@SAC,SAC,CLE,0,0
22644-14516,C,Enes,Enes Kanter,Kanter,30.48666585,30,6800,NY@CHI,NY,CHI,0,0
22644-42669,C,Julius,Julius Randle,Randle,24.65625,32,5200,MEM@LAL,LAL,MEM,0,0
22644-9481,PF,Taj,Taj Gibson,Gibson,26.81176399,34,6000,DEN@MIN,MIN,DEN,0,0
22644-9587,PF,Michael,Michael Beasley,Beasley,17.1259257,27,4800,NY@CHI,NY,CHI,0,0
22644-9666,PF,Thaddeus,Thaddeus Young,Young,27.67058788,34,5700,DAL@IND,IND,DAL,0,0
22644-23798,SG,Caris,Caris LeVert,LeVert,24.33030377,33,5200,BKN@NO,BKN,NO,0,0
22644-80808,PF,Jayson,Jayson Tatum,Tatum,26.65135069,37,5600,BOS@CHA,BOS,CHA,0,0
22644-80812,PF,Lauri,Lauri Markkanen,Markkanen,27.14666748,30,5700,NY@CHI,CHI,NY,0,0
22644-49116,SG,Andrew,Andrew Wiggins,Wiggins,28.62352977,34,5700,DEN@MIN,MIN,DEN,0,0
22644-9787,SF,DeMarre,DeMarre Carroll,Carroll,26.60999959,30,5300,BKN@NO,BKN,NO,0,0
22644-12351,PF,Derrick,Derrick Favors,Favors,25.66666667,33,5800,UTA@GS,UTA,GS,0,0
22644-9624,PG,Darren,Darren Collison,Collison,26.89696896,33,5500,DAL@IND,IND,DAL,0,0
22644-23572,SF,Taurean,Taurean Prince,Prince,25.51818108,33,5800,WAS@ATL,ATL,WAS,0,0
22644-9799,SG,Wesley,Wesley Matthews,Matthews,21.52571498,35,4400,DAL@IND,DAL,IND,0,0
22644-23670,SG,Marcus,Marcus Smart,Smart,23.93142787,35,5200,BOS@CHA,BOS,CHA,0,0
22644-20640,SG,Jordan,Jordan Clarkson,Clarkson,22.46562576,32,5600,MEM@LAL,LAL,MEM,0,0
22644-15559,SG,Jeremy,Jeremy Lamb,Lamb,26.08124924,32,4900,BOS@CHA,CHA,BOS,0,0
